Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
TCS,EQ,01-Apr-2015,2553.95,2558,2563.6,2522.25,2544.05,2542.65,2538.81,1037879,2634981317.45,54078
TCS,EQ,06-Apr-2015,2542.65,2558,2562.9,2500.1,2548.3,2547.3,2531.53,784271,1985404796.8,45408
TCS,EQ,07-Apr-2015,2547.3,2562.45,2599,2544,2588.95,2585,2571.5,943461,2426111369.05,77106
TCS,EQ,08-Apr-2015,2585,2594,2656.5,2590.85,2646,2641.4,2632,826067,2174208279.4,61358
TCS,EQ,09-Apr-2015,2641.4,2659,2687.45,2635.15,2662.6,2664.55,2658.35,1272225,3382017714.75,62583
TCS,EQ,10-Apr-2015,2664.55,2648.5,2670.8,2628,2651.1,2653.75,2648.39,907772,2404135142.8,63471
TCS,EQ,13-Apr-2015,2653.75,2664,2665,2628,2653.85,2655.5,2650.09,654321,1734011442.1,54293
TCS,EQ,15-Apr-2015,2655.5,2654.7,2713.9,2609.4,2618.95,2627.75,2646.26,1456967,3855513024.7,74856
TCS,EQ,16-Apr-2015,2627.75,2626.95,2627,2571.35,2574,2582.8,2589.79,1608785,4166416079.2,71768
TCS,EQ,17-Apr-2015,2582.8,2557.1,2560,2470,2473.9,2474.85,2495.54,4834371,12064349822.95,167402
TCS,EQ,20-Apr-2015,2474.85,2480.05,2483.9,2424.85,2426,2428.8,2439.46,1445361,3525902673.95,84591
TCS,EQ,21-Apr-2015,2428.8,2428.8,2452,2401,2427.05,2427.05,2430.81,1273016,3094465305.15,83843
TCS,EQ,22-Apr-2015,2427.05,2431.5,2473,2407.55,2470.6,2445.1,2428.26,2093406,5083342117,101821
TCS,EQ,23-Apr-2015,2445.1,2472,2479.8,2431.7,2455,2457.25,2460.81,2171495,5343637553.6,80541
TCS,EQ,24-Apr-2015,2457.25,2455.3,2514,2447.55,2509.6,2493.05,2488.25,1812579,4510146387.85,130453
TCS,EQ,27-Apr-2015,2493.05,2499.5,2520,2486,2500,2500.2,2501.44,1366526,3418280027.9,81966
TCS,EQ,28-Apr-2015,2500.2,2510,2510,2455.1,2493,2495,2477.16,1544149,3825105916.3,128979
TCS,EQ,29-Apr-2015,2495,2484,2495,2451.05,2481,2487.3,2472.31,1009810,2496559484.65,100184
TCS,EQ,30-Apr-2015,2487.3,2480,2490,2427.1,2476,2463.7,2461.06,1869027,4599778448.7,101021
TCS,EQ,04-May-2015,2463.7,2491,2504.8,2457.2,2482.25,2481.55,2476.14,945315,2340736972.15,83359
TCS,EQ,05-May-2015,2481.55,2501,2536.45,2500,2519,2517.85,2518.94,1627535,4099661485.45,69702
TCS,EQ,06-May-2015,2517.85,2515,2515,2455.8,2463,2463.05,2468.46,1697203,4189477161.7,97392
TCS,EQ,07-May-2015,2463.05,2464.9,2553.75,2453.7,2550,2545.25,2522.63,1602514,4042557510.35,63417
TCS,EQ,08-May-2015,2545.25,2560,2588,2516.3,2530,2527.25,2552.07,1501832,3832785394.5,53709
TCS,EQ,11-May-2015,2527.25,2535,2563.05,2525,2559,2556,2550.07,1286541,3280765489.15,73023
TCS,EQ,12-May-2015,2556,2560,2565,2513,2523.95,2522.9,2524.91,1233693,3114957842.5,71964
TCS,EQ,13-May-2015,2522.9,2547,2547,2480.45,2523.1,2515.4,2510.43,931887,2339441725,53692
TCS,EQ,14-May-2015,2515.4,2520,2520,2485,2499,2499.25,2495.09,654525,1633096280.8,40174
TCS,EQ,15-May-2015,2499.25,2515,2532.4,2501,2511,2511.15,2512.17,730727,1835713056.6,32934
TCS,EQ,18-May-2015,2511.15,2514.1,2525.25,2497.1,2515.15,2520.4,2505.41,2253876,5646890602.55,50845
TCS,EQ,19-May-2015,2520.4,2519.4,2530,2496.75,2512,2512.7,2511.97,978861,2458873706.45,37527
TCS,EQ,20-May-2015,2512.7,2520,2569.9,2516.9,2557,2557.05,2550.08,948907,2419790057.75,41995
TCS,EQ,21-May-2015,2557.05,2557,2580,2548.15,2551.9,2555.5,2565.83,789789,2026463607.9,40459
TCS,EQ,22-May-2015,2555.5,2550,2628.75,2539.25,2621.8,2617.9,2594.64,1345816,3491905915.45,52428
TCS,EQ,25-May-2015,2617.9,2620,2636.9,2585.7,2600.05,2601,2606.03,491489,1280833581.8,30375
TCS,EQ,26-May-2015,2601,2605,2623.25,2588.9,2614.95,2608.85,2610.17,980870,2560241038.1,34315
TCS,EQ,27-May-2015,2608.85,2608,2633.15,2592,2610,2615.25,2615.75,810345,2119662471.05,50501
TCS,EQ,28-May-2015,2615.25,2603.9,2623,2582.25,2615.9,2609.5,2606.6,1381804,3601809691.7,52267
TCS,EQ,29-May-2015,2609.5,2617,2648.6,2597.25,2621.55,2610.3,2614.52,2211766,5782695514.75,83932
TCS,EQ,01-Jun-2015,2610.3,2609.45,2647.1,2608.35,2615.2,2617.75,2622.43,441132,1156839898,35794
TCS,EQ,02-Jun-2015,2617.75,2616,2630,2590.5,2605,2599.9,2605.54,1967910,5127471871.1,54815
TCS,EQ,03-Jun-2015,2599.9,2604,2625.6,2590.5,2612,2610.9,2611.6,902342,2356551996.6,41440
TCS,EQ,04-Jun-2015,2610.9,2617.1,2622.8,2588.5,2600.2,2605.65,2606.81,2065734,5384974459.95,44653
TCS,EQ,05-Jun-2015,2605.65,2592,2609,2570,2577.5,2575.85,2583.52,1154267,2982066457.6,52168
TCS,EQ,08-Jun-2015,2575.85,2590,2590,2561.65,2580,2577.45,2576.28,785160,2022788959.2,62168
TCS,EQ,09-Jun-2015,2577.45,2585,2590,2551,2561.95,2561.65,2574.52,1289457,3319735632.7,63744
TCS,EQ,10-Jun-2015,2561.65,2566,2610,2563.8,2600,2600.75,2586.57,1381675,3573803308.3,42817
TCS,EQ,11-Jun-2015,2600.75,2605.5,2613,2556.75,2564.25,2571.3,2585.02,923668,2387698129.7,37803
TCS,EQ,12-Jun-2015,2571.3,2571.9,2588.95,2476.8,2520,2505.8,2526.7,1285728,3248652193.85,80056
TCS,EQ,15-Jun-2015,2505.8,2505.3,2520.45,2481,2509.5,2504.8,2503.06,1262588,3160335340.25,57691
TCS,EQ,16-Jun-2015,2504.8,2500,2519.3,2494.45,2508,2512,2510.7,633698,1591026187.1,41162
TCS,EQ,17-Jun-2015,2512,2521,2529.15,2501.8,2512,2513.8,2516.05,987860,2485504053.1,88734
TCS,EQ,18-Jun-2015,2513.8,2515,2546.3,2508,2522,2530.05,2533.09,1082523,2742123536.1,83019
TCS,EQ,19-Jun-2015,2530.05,2535,2555,2527.1,2550,2549.55,2546.79,999805,2546296337.65,50051
TCS,EQ,22-Jun-2015,2549.55,2547,2600,2547,2598.3,2591.5,2587.1,551001,1425494777.35,43692
TCS,EQ,23-Jun-2015,2591.5,2600,2608,2567.2,2585.9,2574.6,2582.03,449159,1159740003.65,30619
TCS,EQ,24-Jun-2015,2574.6,2580,2587.9,2558.85,2568.7,2570.3,2573.22,585123,1505651661.5,39464
TCS,EQ,25-Jun-2015,2570.3,2562,2573,2544.15,2552,2550,2553.8,965496,2465682192.55,36543
TCS,EQ,26-Jun-2015,2550,2550.2,2596.35,2550.2,2590.1,2592.8,2579.82,645051,1664112381.55,34240
TCS,EQ,29-Jun-2015,2592.8,2572,2604,2543.4,2599,2592.9,2569.67,686378,1763768234.7,35008
TCS,EQ,30-Jun-2015,2592.9,2585,2588.75,2540,2555,2550.95,2557.03,774976,1981634326.05,34960
TCS,EQ,01-Jul-2015,2550.95,2563.9,2608,2556.75,2600,2593.1,2584.41,639854,1653643739.5,50229
TCS,EQ,02-Jul-2015,2593.1,2600,2602.95,2571.05,2582,2577.75,2583.81,722940,1867939583.95,63066
TCS,EQ,03-Jul-2015,2577.75,2573.05,2610,2570,2603.1,2603.9,2595.18,481735,1250190067.6,34612
TCS,EQ,06-Jul-2015,2603.9,2580.3,2645,2580.3,2629.7,2633.3,2613.46,591169,1544998843.4,31304
TCS,EQ,07-Jul-2015,2633.3,2632.75,2646.9,2603,2623.9,2616.25,2627.79,821418,2158510413.05,51719
TCS,EQ,08-Jul-2015,2616.25,2597.95,2621.7,2580.5,2591.7,2595.1,2596.66,1333925,3463745328.6,85552
TCS,EQ,09-Jul-2015,2595.1,2595,2598.25,2506.65,2529.35,2522.5,2540.37,1967061,4997069436.9,142048
TCS,EQ,10-Jul-2015,2522.5,2559,2559,2455,2467,2474.35,2489.45,4131827,10285990404.9,211247
TCS,EQ,13-Jul-2015,2474.35,2475.4,2518.6,2475.4,2506.1,2509.55,2502.25,1140154,2852946095.45,53024
TCS,EQ,14-Jul-2015,2509.55,2511,2515,2490,2498.85,2499.5,2499.62,851637,2128767355.85,49611
TCS,EQ,15-Jul-2015,2499.5,2501,2549.95,2500,2548,2545.75,2534.53,1001830,2539169259.65,76369
TCS,EQ,16-Jul-2015,2545.75,2543.7,2558.85,2526.6,2534.9,2540.2,2543.54,728304,1852469301.05,58974
TCS,EQ,17-Jul-2015,2540.2,2546.8,2570.1,2543.3,2563.25,2564.4,2558.02,535263,1369212462.55,39534
TCS,EQ,20-Jul-2015,2564.4,2564,2583.9,2551.9,2579.95,2579.15,2571.54,426893,1097773967.55,38037
TCS,EQ,21-Jul-2015,2579.15,2576,2600.35,2555.1,2561.7,2561.4,2574.93,637250,1640874811.8,52304
TCS,EQ,22-Jul-2015,2561.4,2561,2569,2521.05,2530.9,2528.05,2532.4,660314,1672180248.4,44395
TCS,EQ,23-Jul-2015,2528.05,2517.5,2537.85,2483,2492.05,2488.6,2505.27,748390,1874916485.4,34659
TCS,EQ,24-Jul-2015,2488.6,2497.5,2516.5,2492.1,2507.1,2505.15,2506.09,787486,1973508444.6,38528
TCS,EQ,27-Jul-2015,2505.15,2488,2505,2481.15,2501.15,2497.05,2496.91,1001869,2501578423.65,65507
TCS,EQ,28-Jul-2015,2497.05,2499.5,2519,2492.15,2509.7,2502.05,2509.48,945594,2372947975.75,48484
TCS,EQ,29-Jul-2015,2502.05,2511,2515.05,2483.5,2515,2506.75,2501.68,1206659,3018671545.3,85826
TCS,EQ,30-Jul-2015,2506.75,2516.05,2516.8,2472.8,2472.8,2480.65,2490.3,1385287,3449782850.45,77684
TCS,EQ,31-Jul-2015,2480.65,2489.9,2519,2487,2511.45,2510.75,2502.23,981888,2456907019.8,67496
TCS,EQ,03-Aug-2015,2510.75,2503.4,2525,2500.9,2508,2509.6,2514.14,589662,1482492014.75,50976
TCS,EQ,04-Aug-2015,2509.6,2510.4,2523,2486,2510,2508.9,2500.32,1171346,2928737113.8,82052
TCS,EQ,05-Aug-2015,2508.9,2520,2550,2511,2544.55,2547.15,2539.25,494497,1255652001.55,46758
TCS,EQ,06-Aug-2015,2547.15,2565,2583,2550.1,2569.3,2573.3,2566.25,1105683,2837460973.7,67097
TCS,EQ,07-Aug-2015,2573.3,2573,2573,2547,2559,2552.05,2558.6,594253,1520457968.1,51065
TCS,EQ,10-Aug-2015,2552.05,2572,2589,2556.6,2575,2572.1,2576.47,715591,1843701542.65,45499
TCS,EQ,11-Aug-2015,2572.1,2578,2610,2542.1,2600.8,2604.2,2595.57,1100153,2855526876.9,60746
TCS,EQ,12-Aug-2015,2604.2,2603.1,2691.4,2602,2670,2671.7,2658.48,1739892,4625460143.15,116770
TCS,EQ,13-Aug-2015,2671.7,2670,2684,2556,2638.35,2635.6,2652.19,703213,1865057138.1,47820
TCS,EQ,14-Aug-2015,2635.6,2638,2719.35,2637.1,2692.05,2703.2,2688.81,1146982,3084016067.4,82195
TCS,EQ,17-Aug-2015,2703.2,2690.1,2696.8,2655,2685.9,2684.75,2673.6,386822,1034207797.2,30502
TCS,EQ,18-Aug-2015,2684.75,2706.9,2749.9,2690,2745.95,2740.9,2736.66,958463,2622984632.55,100314
TCS,EQ,19-Aug-2015,2740.9,2750,2752.85,2721.9,2727,2733.6,2739.06,845035,2314600373.5,90389
TCS,EQ,20-Aug-2015,2733.6,2745,2745,2672,2686.5,2686.85,2702.74,1174649,3174771771.2,105196
TCS,EQ,21-Aug-2015,2686.85,2712,2729.9,2655.1,2671,2676.15,2684.3,1768040,4745943361.3,113746
TCS,EQ,24-Aug-2015,2676.15,2639,2645,2569.1,2586,2578.65,2599.95,2346172,6099928317.6,98288
TCS,EQ,25-Aug-2015,2578.65,2587.9,2622,2535.5,2564.8,2567.15,2574.64,1962900,5053751284.75,90437
TCS,EQ,26-Aug-2015,2567.15,2558.05,2639,2511.95,2579.8,2576.75,2591.93,1608079,4168033295.3,92978
TCS,EQ,27-Aug-2015,2576.75,2614.9,2614.9,2545.8,2567,2574.65,2572.91,2632399,6772916405.9,126702
TCS,EQ,28-Aug-2015,2574.65,2609,2609,2557.7,2563.1,2570.85,2581.92,1372076,3542585118.95,102566
TCS,EQ,31-Aug-2015,2570.85,2590,2590,2531.05,2575,2564.05,2566.03,1846022,4736944518.7,109961
TCS,EQ,01-Sep-2015,2564.05,2556,2611.2,2530,2533.2,2537.4,2574.5,1493801,3845789530.5,96695
TCS,EQ,02-Sep-2015,2537.4,2559.7,2620.45,2548,2600,2591.8,2595.11,1882975,4886522945.45,114103
TCS,EQ,03-Sep-2015,2591.8,2596.1,2615,2576.25,2606,2605.6,2594.76,1132537,2938659690.2,91703
TCS,EQ,04-Sep-2015,2605.6,2611.4,2614.9,2539.15,2544,2547.45,2568.96,1213198,3116651985.35,124154
TCS,EQ,07-Sep-2015,2547.45,2553,2559.95,2532.7,2539.6,2539.75,2546.5,879592,2239883159.8,73248
TCS,EQ,08-Sep-2015,2539.75,2545,2564.1,2523.5,2540.3,2540.3,2540.52,893873,2270899930.95,64944
TCS,EQ,09-Sep-2015,2540.3,2562.95,2574,2544,2551,2549.75,2558.04,1022538,2615692014.25,62654
TCS,EQ,10-Sep-2015,2549.75,2542,2578.5,2527,2550,2545.4,2553.83,1332909,3404019638.1,96715
TCS,EQ,11-Sep-2015,2545.4,2546.5,2568.4,2540.6,2549.8,2552,2553.59,796336,2033516637.85,60997
TCS,EQ,14-Sep-2015,2552,2565,2565,2543,2548,2551.65,2552.98,794659,2028750151.55,57713
TCS,EQ,15-Sep-2015,2551.65,2551.65,2558.9,2536,2537.25,2547.6,2548.86,689950,1758583961.95,64604
TCS,EQ,16-Sep-2015,2547.6,2555,2565,2541.05,2548,2550.35,2553.8,878408,2243276051.65,69451
TCS,EQ,18-Sep-2015,2550.35,2565,2586,2539,2545,2551.25,2565.18,1227647,3149141305.85,70579
TCS,EQ,21-Sep-2015,2551.25,2550,2557.1,2533.2,2555.65,2551.05,2545.78,554420,1411429757.4,59635
TCS,EQ,22-Sep-2015,2551.05,2557.5,2572.4,2490,2522.55,2526.8,2545.14,1040623,2648536284.15,72612
TCS,EQ,23-Sep-2015,2526.8,2534.3,2557.75,2512.6,2534.6,2532.65,2533.36,614176,1555931596.75,37626
TCS,EQ,24-Sep-2015,2532.65,2535.5,2590,2529.9,2579,2580.4,2561.8,1177127,3015562644.85,71506
